IP:PORT, LOSS, DELAY
162.159.195.141:1002,0.00%,140 ms
162.159.195.231:1002,0.00%,140 ms
162.159.195.231:891,0.00%,144 ms
162.159.195.141:891,0.00%,145 ms
162.159.195.213:891,0.00%,145 ms
162.159.195.91:891,0.00%,152 ms
162.159.195.243:891,0.00%,154 ms
162.159.192.225:1002,0.00%,154 ms
162.159.195.213:1002,0.00%,155 ms
162.159.195.91:1002,0.00%,156 ms
162.159.195.197:891,0.00%,161 ms
162.159.195.229:891,0.00%,161 ms
162.159.195.43:891,0.00%,162 ms
162.159.195.24:891,0.00%,162 ms
162.159.195.24:1002,0.00%,162 ms
162.159.195.245:891,0.00%,162 ms
162.159.192.134:891,0.00%,163 ms
162.159.195.243:1002,0.00%,163 ms
162.159.195.245:1002,0.00%,163 ms
162.159.195.197:1002,0.00%,163 ms
162.159.195.229:1002,0.00%,163 ms
162.159.195.69:1002,0.00%,164 ms
162.159.192.220:1002,0.00%,165 ms
162.159.195.69:891,0.00%,165 ms
162.159.195.43:1002,0.00%,166 ms
162.159.192.88:1002,0.00%,168 ms
162.159.192.33:1002,0.00%,169 ms
162.159.195.117:1002,0.00%,169 ms
162.159.192.70:1002,0.00%,170 ms
162.159.195.117:891,0.00%,170 ms
188.114.96.230:1002,0.00%,187 ms
188.114.97.171:891,0.00%,204 ms
188.114.99.118:1002,0.00%,204 ms
188.114.98.233:1002,0.00%,205 ms
188.114.98.84:1002,0.00%,205 ms
188.114.96.45:1002,0.00%,205 ms
188.114.98.52:891,0.00%,205 ms
188.114.98.64:1002,0.00%,205 ms
188.114.97.33:1002,0.00%,205 ms
188.114.97.128:891,0.00%,205 ms
188.114.98.123:1002,0.00%,205 ms
188.114.99.239:891,0.00%,206 ms
188.114.97.203:1002,0.00%,206 ms
188.114.97.91:891,0.00%,206 ms
188.114.98.84:891,0.00%,206 ms
188.114.97.215:1002,0.00%,206 ms
188.114.99.236:1002,0.00%,206 ms
188.114.97.86:891,0.00%,207 ms
188.114.97.237:891,0.00%,207 ms
188.114.99.54:891,0.00%,207 ms
188.114.98.93:891,0.00%,207 ms
188.114.97.71:1002,0.00%,207 ms
188.114.98.7:891,0.00%,207 ms
188.114.96.93:1002,0.00%,207 ms
188.114.96.242:891,0.00%,207 ms
188.114.99.82:1002,0.00%,207 ms
188.114.98.123:891,0.00%,207 ms
188.114.96.163:891,0.00%,207 ms
188.114.99.236:891,0.00%,207 ms
188.114.98.173:891,0.00%,207 ms
188.114.99.239:1002,0.00%,208 ms
188.114.98.191:1002,0.00%,208 ms
188.114.97.231:891,0.00%,208 ms
188.114.98.108:1002,0.00%,208 ms
188.114.98.7:1002,0.00%,209 ms
188.114.96.233:891,0.00%,209 ms
188.114.96.2:1002,0.00%,209 ms
188.114.96.198:891,0.00%,209 ms
188.114.96.247:891,0.00%,209 ms
188.114.96.250:891,0.00%,209 ms
188.114.97.91:1002,0.00%,209 ms
188.114.96.233:1002,0.00%,210 ms
188.114.97.33:891,0.00%,210 ms
188.114.97.215:891,0.00%,210 ms
188.114.98.238:1002,0.00%,212 ms
188.114.98.191:891,0.00%,213 ms
188.114.99.33:1002,0.00%,213 ms
188.114.96.45:891,0.00%,214 ms
188.114.98.52:1002,10.00%,283 ms
188.114.98.233:891,10.00%,285 ms
188.114.98.108:891,10.00%,285 ms
188.114.98.20:891,10.00%,285 ms
188.114.99.139:891,10.00%,285 ms
188.114.99.125:1002,10.00%,285 ms
188.114.99.139:1002,10.00%,285 ms
188.114.99.171:891,10.00%,285 ms
188.114.97.101:1002,10.00%,285 ms
188.114.98.93:1002,10.00%,286 ms
188.114.97.145:891,10.00%,286 ms
188.114.96.198:1002,10.00%,286 ms
188.114.96.230:891,10.00%,286 ms
188.114.96.250:1002,10.00%,286 ms
188.114.99.118:891,10.00%,286 ms
188.114.99.171:1002,10.00%,286 ms
188.114.97.86:1002,10.00%,286 ms
188.114.96.43:1002,10.00%,286 ms
188.114.97.203:891,10.00%,286 ms
188.114.96.43:891,10.00%,287 ms
188.114.97.145:1002,10.00%,287 ms
188.114.96.2:891,10.00%,287 ms
188.114.96.93:891,10.00%,287 ms
188.114.97.71:891,10.00%,287 ms
188.114.96.196:1002,10.00%,287 ms
188.114.96.247:1002,10.00%,288 ms
188.114.97.237:1002,10.00%,289 ms
188.114.99.54:1002,10.00%,289 ms
188.114.99.213:1002,10.00%,290 ms
188.114.96.62:891,20.00%,361 ms
188.114.97.172:891,20.00%,362 ms
188.114.98.64:891,20.00%,362 ms
188.114.99.58:891,20.00%,362 ms
188.114.99.82:891,20.00%,363 ms
188.114.98.20:1002,20.00%,364 ms
188.114.98.238:891,20.00%,364 ms
188.114.97.128:1002,20.00%,364 ms
188.114.97.231:1002,20.00%,365 ms
188.114.99.33:891,20.00%,365 ms
188.114.96.163:1002,20.00%,365 ms
188.114.99.213:891,20.00%,366 ms
188.114.96.242:1002,20.00%,367 ms
188.114.97.172:1002,20.00%,368 ms
188.114.99.58:1002,20.00%,369 ms
188.114.96.196:891,20.00%,369 ms
188.114.99.125:891,20.00%,369 ms
188.114.97.101:891,20.00%,370 ms
188.114.98.173:1002,20.00%,370 ms
188.114.96.62:1002,30.00%,443 ms
188.114.97.171:1002,40.00%,522 ms
162.159.192.152:1002,100.00%,1000 ms
162.159.193.112:1002,100.00%,1000 ms
162.159.193.177:891,100.00%,1000 ms
162.159.204.140:891,100.00%,1000 ms
162.159.193.96:891,100.00%,1000 ms
162.159.192.117:1002,100.00%,1000 ms
162.159.193.65:1002,100.00%,1000 ms
162.159.192.70:891,100.00%,1000 ms
188.114.96.12:1002,100.00%,1000 ms
162.159.204.241:891,100.00%,1000 ms
162.159.204.241:1002,100.00%,1000 ms
162.159.204.155:1002,100.00%,1000 ms
162.159.193.58:891,100.00%,1000 ms
188.114.96.12:891,100.00%,1000 ms
162.159.193.76:1002,100.00%,1000 ms
162.159.193.131:1002,100.00%,1000 ms
162.159.204.121:891,100.00%,1000 ms
162.159.193.55:1002,100.00%,1000 ms
162.159.204.6:891,100.00%,1000 ms
162.159.192.134:1002,100.00%,1000 ms
162.159.204.152:891,100.00%,1000 ms
162.159.193.96:1002,100.00%,1000 ms
162.159.193.207:891,100.00%,1000 ms
162.159.204.178:1002,100.00%,1000 ms
162.159.204.84:891,100.00%,1000 ms
162.159.193.131:891,100.00%,1000 ms
162.159.193.177:1002,100.00%,1000 ms
162.159.204.111:891,100.00%,1000 ms
162.159.192.214:891,100.00%,1000 ms
162.159.193.113:891,100.00%,1000 ms
162.159.192.41:891,100.00%,1000 ms
162.159.193.207:1002,100.00%,1000 ms
162.159.193.112:891,100.00%,1000 ms
162.159.204.6:1002,100.00%,1000 ms
162.159.204.176:891,100.00%,1000 ms
162.159.192.225:891,100.00%,1000 ms
162.159.193.58:1002,100.00%,1000 ms
162.159.193.76:891,100.00%,1000 ms
162.159.193.20:891,100.00%,1000 ms
162.159.204.254:891,100.00%,1000 ms
162.159.204.176:1002,100.00%,1000 ms
162.159.204.140:1002,100.00%,1000 ms
162.159.204.61:891,100.00%,1000 ms
162.159.193.65:891,100.00%,1000 ms
162.159.192.184:1002,100.00%,1000 ms
162.159.204.152:1002,100.00%,1000 ms
162.159.204.178:891,100.00%,1000 ms
162.159.192.220:891,100.00%,1000 ms
162.159.192.106:1002,100.00%,1000 ms
162.159.192.106:891,100.00%,1000 ms
162.159.192.166:1002,100.00%,1000 ms
162.159.192.184:891,100.00%,1000 ms
162.159.193.113:1002,100.00%,1000 ms
162.159.204.111:1002,100.00%,1000 ms
162.159.192.152:891,100.00%,1000 ms
162.159.204.155:891,100.00%,1000 ms
162.159.204.61:1002,100.00%,1000 ms
162.159.192.41:1002,100.00%,1000 ms
162.159.193.55:891,100.00%,1000 ms
162.159.192.166:891,100.00%,1000 ms
162.159.204.254:1002,100.00%,1000 ms
162.159.204.253:1002,100.00%,1000 ms
162.159.204.84:1002,100.00%,1000 ms
162.159.193.20:1002,100.00%,1000 ms
162.159.192.33:891,100.00%,1000 ms
162.159.204.253:891,100.00%,1000 ms
162.159.204.121:1002,100.00%,1000 ms
162.159.193.176:891,100.00%,1000 ms
162.159.192.88:891,100.00%,1000 ms
162.159.193.176:1002,100.00%,1000 ms
162.159.192.117:891,100.00%,1000 ms
162.159.192.214:1002,100.00%,1000 ms
